问题,答案
货丢了怎么赔？,如属我司责任，空运按运费3-5倍或申报价值（取低者）赔偿，海运参照提单条款。建议购买货运险，可全额赔付，具体以合同条款为准。
你们跟DHL/FedEx比有什么优势？,我们在跨境头程和整柜海运方面价格更具竞争力，且提供报关、清关、拖车一站式服务，而DHL/FedEx更擅长末端派送，两者可互补使用。
能接危险品吗？,我们仅接受部分有限数量危险品（如锂电池、化妆品等），需提供MSDS、运输鉴定书及危包证，不接受1类爆炸品和7类放射性物品。
体积重怎么算？,国际空运体积重 = 长×宽×高(cm)/6000，海运计费按体积吨（1CBM=1000kg）取大值。具体以航空公司或船司标准为准。
你们系统支持API对接吗？,支持。我们提供标准RESTful API，可实现下单、轨迹查询、库存同步、账单推送等功能，可联系IT部获取对接文档。
报关资料需要提供什么？,一般需要发票、装箱单、合同、报关委托书、申报要素。特殊品需提供许可证或商检证，我们会根据HS编码给予具体清单。
能运食品或保健品吗？,食品和保健品需提供进口国卫生检疫证明及成分说明，部分国家限制较严。建议先提供产品信息我们做合规预审。
货到国外后能改派地址吗？,海空运在到港前可尝试更改，但会产生改单费和可能的额外运费；末端派送阶段（已出仓）一般无法更改，建议下单时确认地址无误。
你们的截单时间是几点？,空运一般提前24小时截单，海运截关时间不固定，一般为开船前3-5天。具体以订舱确认单上的截单截关时间为准。
可以派送到私人地址吗？,可以。我们有专线小包和海外仓一件代发服务，支持派送至住宅地址，部分偏远地区会产生额外派送费。
什么是AMS/ISF？,AMS是美国海关的舱单申报，需在装船前24小时完成；ISF是进口商安全申报，需在开船前48小时完成。我们可代为申报，但需您提供准确品名和收货人信息。
我的货显示签收但客户说没收到怎么办？,我们会提供签收底单（含签名或POD照片），并协助您联系末端派送商核实。若确认为误派，我们会启动追件或理赔流程。
你们能运带电池的产品吗？,可接受内置电池（PI967）和配套电池（PI966），需提供UN38.3报告和MSDS，外箱需贴电池标。不接受纯电池。
大货有折扣吗？,月均出货量≥5吨或≥10个高柜可申请阶梯折扣，请与您的销售经理沟通提供出货计划，我们按年度框架协议审批。
下单后多久能拿到提单？,海运一般在开船后3-5个工作日内签发正本或电放提单；空运主单随机，货物到达后即可获取，也可提前提供主单号供追踪。
电放和正本提单有什么区别？,电放是电子放货，速度快、无需邮寄，适合信用证非强制要求正本的情况；正本提单是物权凭证，适合需转让或信用证结汇。我们两者均可操作。
海关编码怎么查？,您可参考中国海关HS编码查询系统，或提供产品品名、材质、用途给我们的报关员，我们协助归类并告知监管条件。
如果船晚开了怎么办？,我们会提前通知您船期变动，并协助调整后续派送和入仓安排。若因船司原因导致延误，可协助向船司申请滞期费减免，但不作货值赔偿。
你们有保险服务吗？,我们与平安保险合作提供货运险，费率一般为货值的0.08%-0.15%，最低保费50元，可在下单时一并勾选投保。
可以派送到FBA但是不贴标吗？,亚马逊要求每件商品必须有FNSKU标签，否则无法入仓。我们可以提供代贴标服务（收费），但建议您自行贴好以确保准确。
托盘要求是什么？,美国线建议使用48×40英寸木制或塑料托盘，高度不超过72英寸（含托盘），缠膜牢固，外箱需四角对齐。欧洲线使用120×80cm欧标托盘。
你们的计费重量是取整还是四舍五入？,空运计费重量精确到0.5kg，超过0.5kg按1kg计；海运计费按1CBM或1000kg取大，精确到小数点后两位。
敏感货能运吗？,请明确告知具体品名（如粉末、液体、磁铁、仿牌等），部分可接受但需附加费或专用通道，仿牌一律不接。
怎么追踪我的货物？,登录我们OMS系统输入运单号即可查询实时轨迹，也可绑定微信公众号接收推送。如需主动通知，可设置邮件或短信预警。
客户拒收海外仓的货怎么办？,若客户拒收，货物退回海外仓会产生退件费和仓储费。可申请重发、销毁或退回国内（费用另计），我们会提供处理建议。
最小起运量是多少？,空运不限起运量，1kg起收；海运拼箱1CBM起，整柜按箱型。专线小包无起运量，单件最低1g。
你们做不做DDP？,做。我们可提供DDP（完税后交货）服务，代缴目的港关税及增值税，但需您提供准确的海关申报价值及HS编码。
周末能送货吗？,末端派送通常周一至周五工作日派送，部分区域可预约周六派送，但会产生额外费用，需提前沟通。
我的货被退回国内怎么办？,退运需提供退运说明和原出口报关单，我们协助安排退运流程，进口关税和增值税由收货人承担，时效视航线而定。
你们的办公室在哪里？,总部位于上海市浦东新区陆家嘴环路123号，同时在宁波、深圳、洛杉矶、汉堡、新加坡设有分公司，可接待面谈。
能提供清关担保吗？,我们可为信誉良好的长期客户提供有限额度的清关保证金代垫服务，需签订协议并收取一定比例押金。
订舱后能取消吗？,截单前取消一般不产生费用，截单后取消可能产生空仓费或操作费，具体以船司或航司政策为准。
你们招加盟吗？,我们目前采用直营+合资模式，暂不开放加盟。如有合作意向，可联系战略发展部洽谈区域代理。
托盘货和纸箱货价格一样吗？,托盘货占用仓库和舱位面积更大，通常拼箱货会有托盘附加费，整柜则无差别，但需确认是否超高超重。
有没有包税渠道？,欧洲空运和海运有包税专线，按货值一定比例收取关税保证金；美国线建议实报实销，避免包税带来的合规风险。
货物破损怎么处理？,请保留原包装、拍照，并在签收后48小时内提交破损报告和照片，我们会协助向保险公司或承运人索赔，超时将无法受理。
你们能代买托盘吗？,可代购熏蒸托盘或塑料托盘，费用按实收取，需在出货前3天告知数量及尺寸。
我可以自己报关吗？,可以。您可指定报关行，我司提供通关单证配合，但需提前告知且确保报关行与船司/航司系统对接顺畅。
什么是ENS？,ENS是欧盟入境摘要报关，需在船到欧盟港口前24小时申报。我们会在订舱时收集相关信息并代为申报，未申报可能导致罚金。
运宠物可以吗？,我们不承运活体动物，建议联系专业宠物运输公司。
有到南美的航线吗？,有。我们提供到巴西、智利、阿根廷、秘鲁等国的海运整箱和拼箱服务，但航程较长（约30-45天），需提前订舱。
你们和哪些船司合作？,我们与COSCO、MSC、MAERSK、CMA、ONE等主要船司有长期协议，可根据您的时效和预算优选船期。
新客户首次合作有什么要求？,首次合作需提供营业执照、法人身份证复印件，并签署运输合同和保密协议。付款方式一般为首单现结或预付款。
